CLLI,Total Generator KW,# racks,Estimated Power kW (racks x 1.74)
VIANOK05,150,13,22.6
VILNARXA,60,2,3.5
VNBGKYXA,155,44,76.6
WASHIAXO,100,33,57.4
WFRKARXA,80,19,33.1
WGNROKXD,400,38,66.1
WLBGIAXO,55,28,48.7
WNDRGAXA,350,119,207.1
WTWDTXXA,85,9,15.7
ZNTNKYXA,240,54,94.0
