category,subtype,sfha,static_bfe,dfirm,acres,pct
X,AREA OF MINIMAL FLOOD HAZARD,F,-9999.0,08001C,167.79367086263272,28.13783163424275
AREA NOT INCLUDED,AREA NOT INCLUDED (Rocky Mountain Arsenal),F,,08001C,428.53398168607475,71.86216836573023
