,CLLI,State,lat,lng,nearest_tx_line_m,nearest_tx_line_ft,line_name,line_from_sub,line_to_sub,line_id,line_type,owner,status,voltage_kv,volt_class,voltage_basis,attrs_inferred,nearest_100kv_plus_m,kv_100plus,line_name_100plus,line_id_100plus,owner_100plus,source
55,CRSTARXA,AR,33.12825743,-91.96229117,1262.1,4141,,UNKNOWN107892,UNKNOWN117215,149369,AC; OVERHEAD,ENTERGY ARKANSAS INC,IN SERVICE,115,100-161,numeric,Y,1262.1,115,,149369,ENTERGY ARKANSAS INC,https://services2.arcgis.com/FiaPA4ga0iQKduv3/arcgis/rest/services/US_Electric_Power_Transmission_Lines/FeatureServer/0
56,CMLDKYXA,KY,36.97720903,-82.99018402,571.5,1875,TAP160520,UNKNOWN160519,TAP160520,164108,OVERHEAD,KENTUCKY UTILITIES CO,IN SERVICE,-999999,100-161,class_band,Y,2007.2,161,ARNOLD - TAP154618,144519,NOT AVAILABLE,https://services2.arcgis.com/FiaPA4ga0iQKduv3/arcgis/rest/services/US_Electric_Power_Transmission_Lines/FeatureServer/0
57,DHLNGAXA,GA,34.53542378,-83.98251372,747,2451,TAP155238,UNKNOWN110442,TAP155238,146268,OVERHEAD,GEORGIA POWER CO,IN SERVICE,-999999,100-161,class_band,Y,1799.4,115,TAP155196,112608,GEORGIA POWER CO,https://services2.arcgis.com/FiaPA4ga0iQKduv3/arcgis/rest/services/US_Electric_Power_Transmission_Lines/FeatureServer/0
58,DLRKARXA,AR,34.03811246,-92.88737906,2465.1,8088,,UNKNOWN107953,UNKNOWN108006,145131,AC; OVERHEAD,ENTERGY ARKANSAS INC,IN SERVICE,115,100-161,numeric,Y,2465.1,115,,145131,ENTERGY ARKANSAS INC,https://services2.arcgis.com/FiaPA4ga0iQKduv3/arcgis/rest/services/US_Electric_Power_Transmission_Lines/FeatureServer/0
59,DLHRTXXA,TX,36.06014551,-102.5215033,765.6,2512,TAP303669,TAP303669,NOT AVAILABLE,309931,AC; OVERHEAD,SOUTHWESTERN PUBLIC SERVICE CO,IN SERVICE,69,UNDER 100,numeric,N,836.2,138,DALLAM,310668,SOUTHWESTERN PUBLIC SERVICE CO.,https://services2.arcgis.com/FiaPA4ga0iQKduv3/arcgis/rest/services/US_Electric_Power_Transmission_Lines/FeatureServer/0
60,DLTNGAXD,GA,34.67505472,-84.96638784,212.8,698,TAP145943 - TAP173382,TAP145943,TAP173382,167560,AC; OVERHEAD,GEORGIA POWER CO,IN SERVICE,115,100-161,numeric,Y,212.8,115,TAP145943 - TAP173382,167560,GEORGIA POWER CO,https://services2.arcgis.com/FiaPA4ga0iQKduv3/arcgis/rest/services/US_Electric_Power_Transmission_Lines/FeatureServer/0
61,DWSNGAXA,GA,31.77424503,-84.44564353,726.7,2384,,UNKNOWN111737,UNKNOWN176209,179240,AC; OVERHEAD,GEORGIA POWER CO,IN SERVICE,115,100-161,numeric,Y,726.7,115,,179240,GEORGIA POWER CO,https://services2.arcgis.com/FiaPA4ga0iQKduv3/arcgis/rest/services/US_Electric_Power_Transmission_Lines/FeatureServer/0
62,DELTOHXA,OH,41.57490823,-84.00765851,1178.2,3865,,UNKNOWN113825,UNKNOWN171366,173698,AC; OVERHEAD,NOT AVAILABLE,IN SERVICE,-999999,NOT AVAILABLE,not_published,N,2527.1,345,,105659,"AMERICAN TRANSMISSION SYSTEMS, INC.",https://services2.arcgis.com/FiaPA4ga0iQKduv3/arcgis/rest/services/US_Electric_Power_Transmission_Lines/FeatureServer/0
63,DMMTTXXA,TX,34.55170601,-102.3112843,503.4,1652,,NOT AVAILABLE,NOT AVAILABLE,300011,AC; OVERHEAD,NOT AVAILABLE,IN SERVICE,138,100-161,numeric,N,503.4,138,,300011,NOT AVAILABLE,https://services2.arcgis.com/FiaPA4ga0iQKduv3/arcgis/rest/services/US_Electric_Power_Transmission_Lines/FeatureServer/0
64,DNVLGAXA,GA,31.04134697,-84.8845435,40.1,132,,UNKNOWN111610,UNKNOWN111611,100832,AC; OVERHEAD,GEORGIA POWER CO,IN SERVICE,115,100-161,numeric,Y,40.1,115,,100832,GEORGIA POWER CO,https://services2.arcgis.com/FiaPA4ga0iQKduv3/arcgis/rest/services/US_Electric_Power_Transmission_Lines/FeatureServer/0
65,DNSNIAXO,IA,40.6428222,-91.56532493,6815.9,22362,TAP159141,TAP159141,UNKNOWN159143,160544,AC; OVERHEAD,NOT AVAILABLE,IN SERVICE,69,UNDER 100,numeric,Y,6856.4,345,TAP140530 - SUB T,126581,NOT AVAILABLE,https://services2.arcgis.com/FiaPA4ga0iQKduv3/arcgis/rest/services/US_Electric_Power_Transmission_Lines/FeatureServer/0
66,DUMSTXXA,TX,35.85904172,-101.9741244,925.7,3037,DUMAS 19TH STREET,UNKNOWN301331,DUMAS 19TH STREET,313684,AC; OVERHEAD,SOUTHWESTERN PUBLIC SERVICE CO.,IN SERVICE,69,UNDER 100,numeric,N,2252.8,115,DUMAS 19TH STREET,311508,SOUTHWESTERN PUBLIC SERVICE CO,https://services2.arcgis.com/FiaPA4ga0iQKduv3/arcgis/rest/services/US_Electric_Power_Transmission_Lines/FeatureServer/0
67,DYVLIAXO,IA,42.48406074,-91.12305719,968.4,3177,,UNKNOWN159100,UNKNOWN163555,160587,AC; OVERHEAD,NOT AVAILABLE,IN SERVICE,69,UNDER 100,numeric,Y,6659.3,161,DUNDEE - HICKORY CREEK,120017,NOT AVAILABLE,https://services2.arcgis.com/FiaPA4ga0iQKduv3/arcgis/rest/services/US_Electric_Power_Transmission_Lines/FeatureServer/0
68,EDWDIAXO,IA,42.6451856,-91.40056771,7016.1,23019,ELK WIND FARM,ELK WIND FARM,NOT AVAILABLE,143054,OVERHEAD,NOT AVAILABLE,NOT AVAILABLE,-999999,NOT AVAILABLE,not_published,N,10102.2,345,SALEM - HAZLETON,158094,MIDAMERICAN ENERGY CO,https://services2.arcgis.com/FiaPA4ga0iQKduv3/arcgis/rest/services/US_Electric_Power_Transmission_Lines/FeatureServer/0
69,ELYROHXA,OH,41.36574092,-82.10999278,1509.3,4952,,UNKNOWN113152,UNKNOWN113217,173755,AC; OVERHEAD,NOT AVAILABLE,IN SERVICE,138,100-161,numeric,Y,1509.3,138,,173755,NOT AVAILABLE,https://services2.arcgis.com/FiaPA4ga0iQKduv3/arcgis/rest/services/US_Electric_Power_Transmission_Lines/FeatureServer/0
70,ELYROHXB,OH,41.38464009,-82.07799558,795.6,2610,TAP171401 - TAP172609,TAP171401,TAP172609,173759,AC; OVERHEAD,NOT AVAILABLE,IN SERVICE,-999999,NOT AVAILABLE,not_published,N,3645.4,138,,159619,NOT AVAILABLE,https://services2.arcgis.com/FiaPA4ga0iQKduv3/arcgis/rest/services/US_Electric_Power_Transmission_Lines/FeatureServer/0
71,ELYROHXE,OH,41.39990242,-82.13250538,260.3,854,,UNKNOWN113248,UNKNOWN113295,159619,AC; OVERHEAD,NOT AVAILABLE,IN SERVICE,138,100-161,numeric,Y,260.3,138,,159619,NOT AVAILABLE,https://services2.arcgis.com/FiaPA4ga0iQKduv3/arcgis/rest/services/US_Electric_Power_Transmission_Lines/FeatureServer/0
72,EMBGIAXP,IA,43.11080562,-94.66738633,8856.7,29058,,UNKNOWN130503,UNKNOWN130507,104889,AC; OVERHEAD,MIDAMERICAN ENERGY CO,IN SERVICE,161,100-161,numeric,N,8856.7,161,,104889,MIDAMERICAN ENERGY CO,https://services2.arcgis.com/FiaPA4ga0iQKduv3/arcgis/rest/services/US_Electric_Power_Transmission_Lines/FeatureServer/0
73,EVRSKYXA,KY,36.86186907,-83.18240161,471.2,1546,TAP154622 - TAP160523,TAP154622,TAP160523,164291,AC; OVERHEAD,KENTUCKY UTILITIES CO,IN SERVICE,69,UNDER 100,numeric,Y,2347.1,161,HARLAN Y - ARNOLD,128143,KENTUCKY UTILITIES CO,https://services2.arcgis.com/FiaPA4ga0iQKduv3/arcgis/rest/services/US_Electric_Power_Transmission_Lines/FeatureServer/0
74,FRFDIAXC,IA,41.00742291,-91.96587812,549,1801,TAP137749,UNKNOWN137739,TAP137749,105699,OVERHEAD,NOT AVAILABLE,IN SERVICE,-999999,NOT AVAILABLE,not_published,N,3120.3,161,JEFFERSON - HENRY CO,140001,NOT AVAILABLE,https://services2.arcgis.com/FiaPA4ga0iQKduv3/arcgis/rest/services/US_Electric_Power_Transmission_Lines/FeatureServer/0
75,FTZGGAXA,GA,31.71514352,-83.25379441,614.7,2017,,UNKNOWN111755,UNKNOWN116847,123984,AC; OVERHEAD,GEORGIA POWER CO,IN SERVICE,115,100-161,numeric,Y,614.7,115,,123984,GEORGIA POWER CO,https://services2.arcgis.com/FiaPA4ga0iQKduv3/arcgis/rest/services/US_Electric_Power_Transmission_Lines/FeatureServer/0
76,RSSLKYXB,KY,38.51718043,-82.72206062,1627.8,5341,BELLEFONTE - RUSSELL,BELLEFONTE,RUSSELL,145174,AC; OVERHEAD,KENTUCKY POWER CO,IN SERVICE,69,UNDER 100,numeric,Y,1627.8,138,CHADWICK - RUSSELL,106983,KENTUCKY POWER CO,https://services2.arcgis.com/FiaPA4ga0iQKduv3/arcgis/rest/services/US_Electric_Power_Transmission_Lines/FeatureServer/0
77,FMBGKYXA,KY,38.42491568,-83.73666597,556.5,1826,TAP137340,UNKNOWN121422,TAP137340,114939,AC; OVERHEAD,NOT AVAILABLE,IN SERVICE,138,100-161,numeric,Y,556.5,138,TAP137340,114939,NOT AVAILABLE,https://services2.arcgis.com/FiaPA4ga0iQKduv3/arcgis/rest/services/US_Electric_Power_Transmission_Lines/FeatureServer/0
78,FLTNGAXA,GA,30.82945208,-82.00521745,2022.9,6637,,UNKNOWN111393,UNKNOWN111565,115544,AC; OVERHEAD,GEORGIA POWER CO,IN SERVICE,115,100-161,numeric,Y,2022.9,115,,115544,GEORGIA POWER CO,https://services2.arcgis.com/FiaPA4ga0iQKduv3/arcgis/rest/services/US_Electric_Power_Transmission_Lines/FeatureServer/0
79,FRDYARXA,AR,33.81287436,-92.41351291,445,1460,,UNKNOWN121602,UNKNOWN161364,159394,AC; OVERHEAD,ENTERGY ARKANSAS INC,IN SERVICE,115,100-161,numeric,Y,445,115,,159394,ENTERGY ARKANSAS INC,https://services2.arcgis.com/FiaPA4ga0iQKduv3/arcgis/rest/services/US_Electric_Power_Transmission_Lines/FeatureServer/0
80,FRCYIAXO,IA,43.26576547,-93.63893779,418.6,1373,FOREST CITY LIGHT PLANT,FOREST CITY LIGHT PLANT,NOT AVAILABLE,147814,OVERHEAD,NOT AVAILABLE,NOT AVAILABLE,69,UNDER 100,numeric,Y,5862.8,161,TAP163601,166620,NOT AVAILABLE,https://services2.arcgis.com/FiaPA4ga0iQKduv3/arcgis/rest/services/US_Electric_Power_Transmission_Lines/FeatureServer/0
81,GENVOHXA,OH,41.80531692,-80.94567163,4136.9,13572,TAP136893 - PERRY,TAP136893,PERRY,103658,AC; OVERHEAD,"AMERICAN TRANSMISSION SYSTEMS, INC.",IN SERVICE,345,345,numeric,N,4136.9,345,TAP136893 - PERRY,103658,"AMERICAN TRANSMISSION SYSTEMS, INC.",https://services2.arcgis.com/FiaPA4ga0iQKduv3/arcgis/rest/services/US_Electric_Power_Transmission_Lines/FeatureServer/0
82,GRVIOHXA,OH,40.06756012,-82.51897847,851.3,2793,TAP171386,UNKNOWN112973,TAP171386,173735,AC; OVERHEAD,OHIO POWER CO,IN SERVICE,69,UNDER 100,numeric,Y,2965.4,138,NORTH NEWARK SUBSTATION,116448,OHIO POWER CO,https://services2.arcgis.com/FiaPA4ga0iQKduv3/arcgis/rest/services/US_Electric_Power_Transmission_Lines/FeatureServer/0
83,GNBRARXA,AR,35.23266277,-92.38835084,1071.2,3514,GREENBRIER,UNKNOWN108014,GREENBRIER,120252,AC; OVERHEAD,ENTERGY ARKANSAS INC,IN SERVICE,161,100-161,numeric,Y,1071.2,161,GREENBRIER,120252,ENTERGY ARKANSAS INC,https://services2.arcgis.com/FiaPA4ga0iQKduv3/arcgis/rest/services/US_Electric_Power_Transmission_Lines/FeatureServer/0
84,GNFDIAAJ,IA,41.29482081,-94.46017161,2359.8,7742,NORTH - TAP177103,NORTH,TAP177103,180295,NOT AVAILABLE,NOT AVAILABLE,IN SERVICE,-999999,NOT AVAILABLE,not_published,NOT AVAILABLE,8594.4,161,CRESTON - ANITA,111700,WAPA-- WESTERN AREA POWER ADMINISTRATION,https://services2.arcgis.com/FiaPA4ga0iQKduv3/arcgis/rest/services/US_Electric_Power_Transmission_Lines/FeatureServer/0
85,GNUPKYXA,KY,38.57342447,-82.83962673,2736.3,8978,,UNKNOWN137848,NOT AVAILABLE,139308,AC; OVERHEAD,OHIO POWER CO,NOT AVAILABLE,69,UNDER 100,numeric,Y,3685.9,765,JEFFERSON - HANGING ROCK,114236,NOT AVAILABLE,https://services2.arcgis.com/FiaPA4ga0iQKduv3/arcgis/rest/services/US_Electric_Power_Transmission_Lines/FeatureServer/0
86,GRNLIAXC,IA,41.74516982,-92.72541513,440.5,1445,,UNKNOWN173659,UNKNOWN173801,175805,OVERHEAD,CITY OF MONTEZUMA - (IA),NOT AVAILABLE,-999999,NOT AVAILABLE,not_published,N,14598.5,345,MONTEZUMA SWITCHING STATION - BONDURANT,139793,MIDAMERICAN ENERGY CO,https://services2.arcgis.com/FiaPA4ga0iQKduv3/arcgis/rest/services/US_Electric_Power_Transmission_Lines/FeatureServer/0
87,HRSNARXA,AR,36.214283,-93.079052,957.9,3143,,UNKNOWN107930,UNKNOWN121832,103259,AC; OVERHEAD,ENTERGY ARKANSAS INC,IN SERVICE,161,100-161,numeric,Y,957.9,161,,103259,ENTERGY ARKANSAS INC,https://services2.arcgis.com/FiaPA4ga0iQKduv3/arcgis/rest/services/US_Electric_Power_Transmission_Lines/FeatureServer/0
88,HZRDKYXA,KY,37.24986502,-83.19392024,518.2,1700,HAZARD,HAZARD,UNKNOWN121485,108992,AC; OVERHEAD,KENTUCKY POWER CO,IN SERVICE,69,UNDER 100,numeric,Y,1044.4,161,HAZARD - WOOTON,129211,KENTUCKY POWER CO,https://services2.arcgis.com/FiaPA4ga0iQKduv3/arcgis/rest/services/US_Electric_Power_Transmission_Lines/FeatureServer/0
89,HWSSGAXA,GA,34.95173821,-83.75830574,25.5,84,TAP151237,UNKNOWN116503,TAP151237,118904,AC; OVERHEAD,TENNESSEE VALLEY AUTHORITY,IN SERVICE,69,UNDER 100,numeric,Y,10248.7,161,HAYESVILLE,130347,"DUKE ENERGY CAROLINAS, LLC",https://services2.arcgis.com/FiaPA4ga0iQKduv3/arcgis/rest/services/US_Electric_Power_Transmission_Lines/FeatureServer/0
90,HLRDFLXA,FL,30.68973301,-81.91866146,3516.3,11537,DUVAL - THALMANN,DUVAL,THALMANN,120977,AC; OVERHEAD,NOT AVAILABLE,IN SERVICE,500,500,numeric,N,3516.3,500,DUVAL - THALMANN,120977,NOT AVAILABLE,https://services2.arcgis.com/FiaPA4ga0iQKduv3/arcgis/rest/services/US_Electric_Power_Transmission_Lines/FeatureServer/0
91,HIRMOHXA,OH,41.31000644,-81.14604119,7491.5,24578,HIGHLAND - CHAMBERLIN,HIGHLAND,CHAMBERLIN,124079,AC; OVERHEAD,"AMERICAN TRANSMISSION SYSTEMS, INC.",IN SERVICE,345,345,numeric,N,7491.5,345,HIGHLAND - CHAMBERLIN,124079,"AMERICAN TRANSMISSION SYSTEMS, INC.",https://services2.arcgis.com/FiaPA4ga0iQKduv3/arcgis/rest/services/US_Electric_Power_Transmission_Lines/FeatureServer/0
92,HLCRIAXP,IA,42.59921634,-90.9921892,392.3,1287,TAP159090 - TAP159092,TAP159090,TAP159092,160468,AC; OVERHEAD,NOT AVAILABLE,IN SERVICE,69,UNDER 100,numeric,Y,3515.3,345,TURKEY RIVER - TAP400199,400396,AMERICAN TRANSMISSION,https://services2.arcgis.com/FiaPA4ga0iQKduv3/arcgis/rest/services/US_Electric_Power_Transmission_Lines/FeatureServer/0
93,HDSNOHXB,OH,41.21706309,-81.44250817,810.4,2659,TAP148087 - DARROW,TAP148087,DARROW,113504,OVERHEAD,NOT AVAILABLE,IN SERVICE,-999999,NOT AVAILABLE,not_published,N,1050.6,138,DARROW - HANNA,125569,NOT AVAILABLE,https://services2.arcgis.com/FiaPA4ga0iQKduv3/arcgis/rest/services/US_Electric_Power_Transmission_Lines/FeatureServer/0
94,HDSNOHXA,OH,41.24341435,-81.44003425,1297.5,4257,CHAMBERLIN,UNKNOWN112784,CHAMBERLIN,133350,OVERHEAD,NOT AVAILABLE,IN SERVICE,-999999,NOT AVAILABLE,not_published,N,3274.9,138,DARROW - HANNA,125569,NOT AVAILABLE,https://services2.arcgis.com/FiaPA4ga0iQKduv3/arcgis/rest/services/US_Electric_Power_Transmission_Lines/FeatureServer/0
95,WTWDTXXA,TX,30.81159231,-95.25973771,1311.5,4303,,UNKNOWN301204,UNKNOWN301486,313701,AC; OVERHEAD,NOT AVAILABLE,IN SERVICE,69,UNDER 100,numeric,Y,3694,138,,304605,SAM HOUSTON ELECTRIC COOP INC,https://services2.arcgis.com/FiaPA4ga0iQKduv3/arcgis/rest/services/US_Electric_Power_Transmission_Lines/FeatureServer/0
96,IRTNGAXA,GA,32.82025461,-83.16782563,1270.1,4167,MEAG3,UNKNOWN112282,MEAG3,104278,OVERHEAD,GEORGIA POWER CO,IN SERVICE,-999999,100-161,class_band,Y,3603,115,,148195,GEORGIA POWER CO,https://services2.arcgis.com/FiaPA4ga0iQKduv3/arcgis/rest/services/US_Electric_Power_Transmission_Lines/FeatureServer/0
97,JSPRGAXA,GA,34.46817879,-84.43144501,891.1,2924,TAP169054,UNKNOWN169053,TAP169054,170609,OVERHEAD,GEORGIA POWER CO,IN SERVICE,-999999,NOT AVAILABLE,not_published,N,1667.1,230,,115545,GEORGIA POWER CO,https://services2.arcgis.com/FiaPA4ga0iQKduv3/arcgis/rest/services/US_Electric_Power_Transmission_Lines/FeatureServer/0
98,JLLYIAXE,IA,42.47842132,-94.71846556,4069.2,13350,,UNKNOWN130435,UNKNOWN168197,169417,AC; OVERHEAD,MIDAMERICAN ENERGY CO,IN SERVICE,69,UNDER 100,numeric,Y,9729.3,161,,104460,MIDAMERICAN ENERGY CO,https://services2.arcgis.com/FiaPA4ga0iQKduv3/arcgis/rest/services/US_Electric_Power_Transmission_Lines/FeatureServer/0
99,KNTNOHXA,OH,40.64789637,-83.61029866,2541.7,8339,TAP140023,UNKNOWN137331,TAP140023,148375,AC; OVERHEAD,OHIO POWER CO,IN SERVICE,138,100-161,numeric,Y,2541.7,138,TAP140023,148375,OHIO POWER CO,https://services2.arcgis.com/FiaPA4ga0iQKduv3/arcgis/rest/services/US_Electric_Power_Transmission_Lines/FeatureServer/0
100,KRVLTXXA,TX,30.04534759,-99.13997664,1314.2,4312,TRAVIS,UNKNOWN302447,TRAVIS,307601,AC; OVERHEAD,"PEDERNALES ELECTRIC COOP, INC",NOT AVAILABLE,69,UNDER 100,numeric,N,1431.9,138,,309918,"PEDERNALES ELECTRIC COOP, INC",https://services2.arcgis.com/FiaPA4ga0iQKduv3/arcgis/rest/services/US_Electric_Power_Transmission_Lines/FeatureServer/0
101,KGVLOHXA,OH,41.88940328,-80.67476628,1472.8,4832,TAP136902,UNKNOWN113675,TAP136902,129721,AC; OVERHEAD,NOT AVAILABLE,IN SERVICE,138,100-161,numeric,Y,1472.8,138,TAP136902,129721,NOT AVAILABLE,https://services2.arcgis.com/FiaPA4ga0iQKduv3/arcgis/rest/services/US_Electric_Power_Transmission_Lines/FeatureServer/0
102,KNVLIAXD,IA,41.34934878,-93.02558814,3885.7,12748,KNOXVILLE BATTERY ENERGY STORAGE,KNOXVILLE BATTERY ENERGY STORAGE,UNKNOWN137742,160875,AC; OVERHEAD,MIDAMERICAN ENERGY CO,IN SERVICE,69,UNDER 100,numeric,Y,,,,,,https://services2.arcgis.com/FiaPA4ga0iQKduv3/arcgis/rest/services/US_Electric_Power_Transmission_Lines/FeatureServer/0
103,KNVLIAWH,IA,41.3202682,-93.06150375,98.6,324,KNOXVILLE BATTERY ENERGY STORAGE,KNOXVILLE BATTERY ENERGY STORAGE,UNKNOWN137742,160875,AC; OVERHEAD,MIDAMERICAN ENERGY CO,IN SERVICE,69,UNDER 100,numeric,Y,,,,,,https://services2.arcgis.com/FiaPA4ga0iQKduv3/arcgis/rest/services/US_Electric_Power_Transmission_Lines/FeatureServer/0
104,KNVLIAXC,IA,41.31955143,-93.098332,935.6,3069,KNOXVILLE BATTERY ENERGY STORAGE,KNOXVILLE BATTERY ENERGY STORAGE,UNKNOWN137742,160875,AC; OVERHEAD,MIDAMERICAN ENERGY CO,IN SERVICE,69,UNDER 100,numeric,Y,,,,,,https://services2.arcgis.com/FiaPA4ga0iQKduv3/arcgis/rest/services/US_Electric_Power_Transmission_Lines/FeatureServer/0
105,LFYTGAXA,GA,34.70665255,-85.28274049,954,3130,ROCK SPRING,UNKNOWN109795,ROCK SPRING,118758,AC; OVERHEAD,GEORGIA POWER CO,IN SERVICE,115,100-161,numeric,Y,954,115,ROCK SPRING,118758,GEORGIA POWER CO,https://services2.arcgis.com/FiaPA4ga0iQKduv3/arcgis/rest/services/US_Electric_Power_Transmission_Lines/FeatureServer/0
106,ELYROHXD,OH,41.31259102,-82.11731811,345.7,1134,SHINROCK,UNKNOWN113152,SHINROCK,167799,AC; OVERHEAD,NOT AVAILABLE,IN SERVICE,138,100-161,numeric,Y,345.7,138,SHINROCK,167799,NOT AVAILABLE,https://services2.arcgis.com/FiaPA4ga0iQKduv3/arcgis/rest/services/US_Electric_Power_Transmission_Lines/FeatureServer/0
107,LKCYIAXO,IA,42.26849988,-94.73361558,8592,28189,,UNKNOWN130435,UNKNOWN168197,169417,AC; OVERHEAD,MIDAMERICAN ENERGY CO,IN SERVICE,69,UNDER 100,numeric,Y,10289.1,345,LEHIGH - RAUN,109217,MIDAMERICAN ENERGY CO,https://services2.arcgis.com/FiaPA4ga0iQKduv3/arcgis/rest/services/US_Electric_Power_Transmission_Lines/FeatureServer/0
108,LAMSTXXA,TX,32.73209717,-101.9508835,737.5,2420,,UNKNOWN300952,UNKNOWN301048,313735,AC; OVERHEAD,ONCOR ELECTRIC DELIVERY CO.,IN SERVICE,69,UNDER 100,numeric,N,1830,138,,311541,ONCOR ELECTRIC DELIVERY CO.,https://services2.arcgis.com/FiaPA4ga0iQKduv3/arcgis/rest/services/US_Electric_Power_Transmission_Lines/FeatureServer/0
109,LAVNGAXA,GA,34.43593356,-83.10440458,1142.3,3748,TAP173822 - DEADEND173825,TAP173822,DEADEND173825,175840,OVERHEAD,GEORGIA POWER CO,NOT AVAILABLE,-999999,NOT AVAILABLE,not_published,N,1991.1,115,TAP154604,133192,GEORGIA POWER CO,https://services2.arcgis.com/FiaPA4ga0iQKduv3/arcgis/rest/services/US_Electric_Power_Transmission_Lines/FeatureServer/0
110,LEDSALXA,AL,33.54372706,-86.54439521,574,1883,TAP145830,UNKNOWN110130,TAP145830,134621,AC; OVERHEAD,ALABAMA POWER CO,IN SERVICE,115,100-161,numeric,Y,574,115,TAP145830,134621,ALABAMA POWER CO,https://services2.arcgis.com/FiaPA4ga0iQKduv3/arcgis/rest/services/US_Electric_Power_Transmission_Lines/FeatureServer/0
111,LTFDKYXA,KY,37.48445892,-86.29395113,157.1,515,TAP155982,UNKNOWN124713,TAP155982,156353,AC; OVERHEAD,KENTUCKY UTILITIES CO,IN SERVICE,69,UNDER 100,numeric,Y,1554.6,138,TAP155580,104327,KENTUCKY UTILITIES CO,https://services2.arcgis.com/FiaPA4ga0iQKduv3/arcgis/rest/services/US_Electric_Power_Transmission_Lines/FeatureServer/0
112,LVLDTXXA,TX,33.58805583,-102.3795435,391.5,1284,,UNKNOWN302193,NOT AVAILABLE,300096,AC; OVERHEAD,SOUTHWESTERN PUBLIC SERVICE CO.,IN SERVICE,69,UNDER 100,numeric,N,4208.3,115,TAP300226,301055,NOT AVAILABLE,https://services2.arcgis.com/FiaPA4ga0iQKduv3/arcgis/rest/services/US_Electric_Power_Transmission_Lines/FeatureServer/0
113,LTFDTXXA,TX,33.921043,-102.329773,1322.1,4338,,UNKNOWN301554,UNKNOWN304715,300089,AC; OVERHEAD,NOT AVAILABLE,IN SERVICE,69,UNDER 100,numeric,N,3118.9,115,PLANT X,307568,BAILEY COUNTY ELEC COOP ASSN,https://services2.arcgis.com/FiaPA4ga0iQKduv3/arcgis/rest/services/US_Electric_Power_Transmission_Lines/FeatureServer/0
114,LVOKFLXA,FL,30.29397346,-82.98207915,377,1237,LIVE OAK,UNKNOWN107674,LIVE OAK,144068,AC; OVERHEAD,"DUKE ENERGY FLORIDA, LLC",IN SERVICE,115,100-161,numeric,N,377,115,LIVE OAK,144068,"DUKE ENERGY FLORIDA, LLC",https://services2.arcgis.com/FiaPA4ga0iQKduv3/arcgis/rest/services/US_Electric_Power_Transmission_Lines/FeatureServer/0
115,MDSNOHXA,OH,41.80027422,-81.04898539,1103.6,3621,TAP136893 - PERRY,TAP136893,PERRY,103658,AC; OVERHEAD,"AMERICAN TRANSMISSION SYSTEMS, INC.",IN SERVICE,345,345,numeric,N,1103.6,345,TAP136893 - PERRY,103658,"AMERICAN TRANSMISSION SYSTEMS, INC.",https://services2.arcgis.com/FiaPA4ga0iQKduv3/arcgis/rest/services/US_Electric_Power_Transmission_Lines/FeatureServer/0
116,MNCHIAXO,IA,42.48472283,-91.45717681,7586.1,24889,DUNDEE - HICKORY CREEK,DUNDEE,HICKORY CREEK,120017,AC; OVERHEAD,NOT AVAILABLE,IN SERVICE,161,100-161,numeric,Y,7586.1,161,DUNDEE - HICKORY CREEK,120017,NOT AVAILABLE,https://services2.arcgis.com/FiaPA4ga0iQKduv3/arcgis/rest/services/US_Electric_Power_Transmission_Lines/FeatureServer/0
117,MNCHIAWH,IA,42.45587333,-91.47837073,7465,24492,DUNDEE - COGGON,DUNDEE,COGGON,144434,AC; OVERHEAD,NOT AVAILABLE,IN SERVICE,161,100-161,numeric,Y,7465,161,DUNDEE - COGGON,144434,NOT AVAILABLE,https://services2.arcgis.com/FiaPA4ga0iQKduv3/arcgis/rest/services/US_Electric_Power_Transmission_Lines/FeatureServer/0
118,MNCHGAXA,GA,32.85132378,-84.61593315,3299.1,10824,,UNKNOWN112106,UNKNOWN116695,106353,AC; OVERHEAD,GEORGIA POWER CO,IN SERVICE,115,100-161,numeric,Y,3299.1,115,,106353,GEORGIA POWER CO,https://services2.arcgis.com/FiaPA4ga0iQKduv3/arcgis/rest/services/US_Electric_Power_Transmission_Lines/FeatureServer/0
119,MRNGIAXO,IA,41.79888094,-92.06939307,13679.9,44881,TAP168104 - TAP168107,TAP168104,TAP168107,169309,AC; OVERHEAD,NOT AVAILABLE,IN SERVICE,69,UNDER 100,numeric,Y,,,,,,https://services2.arcgis.com/FiaPA4ga0iQKduv3/arcgis/rest/services/US_Electric_Power_Transmission_Lines/FeatureServer/0
120,MAYOFLXA,FL,30.05422767,-83.17625776,7685.6,25215,,UNKNOWN107670,UNKNOWN107673,136349,AC; OVERHEAD,"DUKE ENERGY FLORIDA, LLC",IN SERVICE,69,UNDER 100,numeric,N,,,,,,https://services2.arcgis.com/FiaPA4ga0iQKduv3/arcgis/rest/services/US_Electric_Power_Transmission_Lines/FeatureServer/0
121,MCRAGAXA,GA,32.06678201,-82.89752257,79.1,260,,UNKNOWN111843,UNKNOWN154655,170565,OVERHEAD,GEORGIA POWER CO,IN SERVICE,-999999,NOT AVAILABLE,not_published,N,2123.2,115,TAP155816,158101,GEORGIA POWER CO,https://services2.arcgis.com/FiaPA4ga0iQKduv3/arcgis/rest/services/US_Electric_Power_Transmission_Lines/FeatureServer/0
