clli,address,tier,county,state,lat,lng,status,acres_gis,sqft_gis,m2_gis,acres_stated,parcel_id,owner,parcel_address,source,notes
ASHTOHXA,4616 Park Avenue,Top Site,Ashtabula,OH,41.86554916,-80.78344219,ok,0.3376,14704,1366.0,,05-000-00-403-00,,4616  PARK AVE,https://services2.arcgis.com/MlJ0G8iWUyC7jAmu/arcgis/rest/services/OhioStatewidePacels_full_view/FeatureServer/0,
GENVOHXA,37 South Forest Street,Top Site,Ashtabula,OH,41.80531692000002,-80.94567163,ok,0.8339,36326,3374.8,,20-000-00-150-00,,37  FOREST ST,https://services2.arcgis.com/MlJ0G8iWUyC7jAmu/arcgis/rest/services/OhioStatewidePacels_full_view/FeatureServer/0,
FRVWOHXA,32699 Old National Road,Top Site,Belmont,OH,40.05949739999999,-81.22041851000002,ok,0.9684,42183,3918.9,,12-90007.000,,32699 OLD NATIONAL RD,https://services2.arcgis.com/MlJ0G8iWUyC7jAmu/arcgis/rest/services/OhioStatewidePacels_full_view/FeatureServer/0,
PWPNOHXA,101 Ben Avenue,Interesting,Belmont,OH,39.86595076000002,-80.79901046,ok,0.0747,3254,302.3,,53-90011.000,,BEN AVE,https://services2.arcgis.com/MlJ0G8iWUyC7jAmu/arcgis/rest/services/OhioStatewidePacels_full_view/FeatureServer/0,
BNBGOHXA,8425 Baindridge Road,Top Site,Geauga,OH,41.38569895000002,-81.34062923,ok,0.3535,15397,1430.4,,02-601000,,8425  BAINBRIDGE RD,https://services2.arcgis.com/MlJ0G8iWUyC7jAmu/arcgis/rest/services/OhioStatewidePacels_full_view/FeatureServer/0,
CHRDOHXA,205 South Hambden Street,Top Site,Geauga,OH,41.58128454000003,-81.20213285,ok,0.1915,8343,775.1,,10-601300,,205 S HAMBDEN ST,https://services2.arcgis.com/MlJ0G8iWUyC7jAmu/arcgis/rest/services/OhioStatewidePacels_full_view/FeatureServer/0,
KNTNOHXA,225 West Columbus Street,Interesting,Hardin,OH,40.64789637000001,-83.61029866,ok,0.2028,8834,820.7,,360600010000,,,https://services2.arcgis.com/MlJ0G8iWUyC7jAmu/arcgis/rest/services/OhioStatewidePacels_full_view/FeatureServer/0,
MDSNOHXA,2740 Hubbard Road,Top Site,Lake,OH,41.80027422000001,-81.04898539,ok,0.6524,28419,2640.2,,01B8880006000,,2745  HUBBARD RD  MADISON 44057,https://services2.arcgis.com/MlJ0G8iWUyC7jAmu/arcgis/rest/services/OhioStatewidePacels_full_view/FeatureServer/0,
GRVIOHXA,131 East Broadway,Interesting,Licking,OH,40.06756012,-82.51897847,ok,0.1775,7731,718.2,,02005675401000,,"131 E BROADWAY GRANVILLE, OH 43023 GRANVILLE 43023",https://services2.arcgis.com/MlJ0G8iWUyC7jAmu/arcgis/rest/services/OhioStatewidePacels_full_view/FeatureServer/0,
HETHOHXA,1046 Harris Avenue,Interesting,Licking,OH,40.04131689,-82.44171796,ok,0.1458,6349,589.9,,05428208405000,,"HARRIS AVE NEWARK, OH 43055 NEWARK 43055",https://services2.arcgis.com/MlJ0G8iWUyC7jAmu/arcgis/rest/services/OhioStatewidePacels_full_view/FeatureServer/0,
NWRKOHXA,66 North 4th Street,Top Site,Licking,OH,40.05944852999998,-82.40487305,ok,0.2758,12014,1116.2,,05428208401000,,"66 N 4TH ST NEWARK, OH 43055 NEWARK 43055",https://services2.arcgis.com/MlJ0G8iWUyC7jAmu/arcgis/rest/services/OhioStatewidePacels_full_view/FeatureServer/0,Mireye/Regrid reported 0.28 ac. 
NWRKOHXB,320 Deo Drive,Interesting,Licking,OH,40.08689351000001,-82.42710725999999,ok,0.3724,16220,1506.9,,09629514601000,,,https://services2.arcgis.com/MlJ0G8iWUyC7jAmu/arcgis/rest/services/OhioStatewidePacels_full_view/FeatureServer/0,
NWRKOHXC,214 Neal Avenue,Interesting,Licking,OH,40.05750810000003,-82.42718794,ok,0.1312,5717,531.1,,05428208406000,,"685 W CHURCH ST NEWARK, OH 43055 NEWARK 43055",https://services2.arcgis.com/MlJ0G8iWUyC7jAmu/arcgis/rest/services/OhioStatewidePacels_full_view/FeatureServer/0,
NWRKOHXD,7322 Dorsey Mill Road Southeast,Top Site,Licking,OH,40.01356484999999,-82.40461772999998,ok,0.386,16815,1562.1,,04113653601000,,,https://services2.arcgis.com/MlJ0G8iWUyC7jAmu/arcgis/rest/services/OhioStatewidePacels_full_view/FeatureServer/0,
ELYROHXA,363 3rd Street,Top Site,Lorain,OH,41.36574092,-82.10999278,ok,0.5012,21831,2028.1,,0626055000001,,,https://services2.arcgis.com/MlJ0G8iWUyC7jAmu/arcgis/rest/services/OhioStatewidePacels_full_view/FeatureServer/0,
NRFDOHXA,54 Leonard Avenue,Interesting,Summit,OH,41.31474448,-81.53703932,ok,0.1685,7339,681.8,,4002461,,,https://services2.arcgis.com/MlJ0G8iWUyC7jAmu/arcgis/rest/services/OhioStatewidePacels_full_view/FeatureServer/0,Mireye/Regrid reported 0.11 ac. 
RCFDOHXA,4676 West Streetsboro Road,Top Site,Summit,OH,41.23925716999999,-81.6557576,ok,0.1615,7036,653.7,,5001510,,,https://services2.arcgis.com/MlJ0G8iWUyC7jAmu/arcgis/rest/services/OhioStatewidePacels_full_view/FeatureServer/0,
TWBGOHIR,2684 East Aurora Road,Top Site,Summit,OH,41.31124912,-81.44234445,ok,0.4985,21716,2017.5,,6406505,,,https://services2.arcgis.com/MlJ0G8iWUyC7jAmu/arcgis/rest/services/OhioStatewidePacels_full_view/FeatureServer/0,
TWBGOHXA,2684 Route 82,Top Site,Summit,OH,41.31113087000001,-81.44232342999999,ok,0.4985,21716,2017.5,,6406505,,,https://services2.arcgis.com/MlJ0G8iWUyC7jAmu/arcgis/rest/services/OhioStatewidePacels_full_view/FeatureServer/0,
PECSTXXB,924 West Daggett Street,Interesting,Reeves,TX,31.40444183,-103.5034902,UNRESOLVED,,,,,,,,Reeves County Appraisal District,TX appraisal district - no public parcel service found
