site_id,lat,lng,name,address,state,county,group,notes,city,land_ownership,asset_type,primary_use,rack_count
CLJTIAWH,41.28189291,-91.38120865,WNS3288,326 Hilltop Drive,IA,,Other,,Columbus Junction,Owned,Building,Central Office,2
CMRCGAXA,34.2039764199999,-83.4594712199999,WNS1495,45 Georgia Avenue,GA,,Interesting,,Commerce,Owned,Building,Central Office,128
CLDGTXXA,31.75403928,-96.64933392,WNS2557,102 S Second,TX,,Other,,Coolidge,Owned,Building,Central Office,23
CRNLGAXA,34.5145162099999,-83.52818003,WNS3179,350 North Main Street,GA,,Interesting,,Cornelia,Owned,Building,Central Office,77
COWTOKXB,35.95075827,-95.6516158099999,WNS2335,124 West Sycamore Street,OK,,Other,,Coweta,Owned,Building,Central Office,49
CRESIAXO,43.37396074,-92.1173488499999,WNS1610,118 2nd Avenue W,IA,,Other,,Cresco,Owned,Building,Central Office,20
CETNIAXC,41.0581730099999,-94.36359446,WNS0057,117 North Elm Street,IA,,Other,,Creston,Owned,Building,Central Office,24
CRSTARXA,33.1282574299999,-91.96229117,WNS1356,104 West 6th Avenue,AR,,Other,,Crossett,Owned,Building,Central Office,36
CMLDKYXA,36.9772090299999,-82.99018402,WNS1724,309 Main Street,KY,,Other,,Cumberland,Owned,Building,Central Office,26
DHLNGAXA,34.53542378,-83.98251372,WNS1498,200 Boyd Circle,GA,,Interesting,,Dahlonega,Owned,Building,Central Office,50
DLRKARXA,34.03811246,-92.88737906,WNS1358,13 Dallas 311,AR,,Other,,Dalark,Leased/Easement,Building,Central Office,6
DLHRTXXA,36.0601455099999,-102.5215033,WNS2567,601 Denver Avenue,TX,,Other,,Dalhart,Owned,Building,Central Office,20
DLTNGAXD,34.6750547199999,-84.9663878399999,WNS1500,350 Cross Plains Blvd,GA,,Interesting,,Dalton,Owned,Building,Central Office,18
DWSNGAXA,31.7742450299999,-84.4456435299999,WNS1504,163 Stonewall Street NE,GA,,Other,,Dawson,Owned,Building,Central Office,35
DELTOHXA,41.5749082299999,-84.0076585099999,WNS2259,201 Monroe Street,OH,,Other,,Delta,Owned,Building,Central Office,26
DMMTTXXA,34.5517060099999,-102.311284299999,WNS2575,113 Northeast 2nd Street,TX,,Other,,Dimmitt,Owned,Building,Central Office,28
DNVLGAXA,31.0413469699999,-84.8845435,WNS1509,202 Knox Street,GA,,Other,,Donalsonville,Owned,Building,Central Office,30
DNSNIAXO,40.6428221999999,-91.56532493,WNS0481,517 Elm Street,IA,,Other,,Donnellson,Owned,Building,Central Office,21
DUMSTXXA,35.85904172,-101.974124399999,WNS2579,116 West 7th Street,TX,,Other,,Dumas,Owned,Building,Central Office,74
DYVLIAXO,42.4840607399999,-91.1230571899999,WNS1624,116 2nd Street,IA,,Other,,Dyersville,Owned,Building,Central Office,26
EDWDIAXO,42.6451855999999,-91.40056771,,105 E MAIN,IA,,Other,,Edgewood,Owned,Building,Central Office,4
ELYROHXA,41.36574092,-82.1099927799999,WNS2262,363 3rd Street,OH,,Interesting,,Elyria,Owned,Building,Central Office,159
ELYROHXB,41.3846400899999,-82.07799558,WNS2263,400 Abbe Norht Road,OH,,Other,,Elyria,Owned,Building,Central Office,52
ELYROHXE,41.3999024199999,-82.1325053799999,WNS2264,41786 Griswald Road,OH,,Other,,Elyria,Owned,Building,Central Office,33
EMBGIAXP,43.11080562,-94.6673863299999,WNS3292,1301 10th Street,IA,,Other,,Emmetsburg,Owned,Building,Central Office,23
EVRSKYXA,36.8618690699999,-83.1824016099999,WNS1728,159 E. Main St,KY,,Other,,EVARTS,Owned,Building,Central Office,42
FRFDIAXC,41.00742291,-91.9658781199999,WNS1627,204 West Broadway,IA,,Other,,Fairfield,Owned,Building,Central Office,40
FTZGGAXA,31.71514352,-83.2537944099999,WNS1514,110 East Central,GA,,Other,,Fitzgerald,Owned,Building,Central Office,92
RSSLKYXB,38.51718043,-82.7220606199999,WNS1730,2400 Argillite Road,KY,,Other,,FLATWOODS,Owned,Building,Central Office,73
FMBGKYXA,38.4249156799999,-83.73666597,WNS1732,226 West Water Street,KY,,Other,,FLEMINGSBURG,Owned,Building,Central Office,69
FLTNGAXA,30.8294520799999,-82.00521745,WNS1515,201 East Martin Street,GA,,Other,,Folkston,Owned,Building,Central Office,25
FRDYARXA,33.81287436,-92.4135129099999,WNS1367,308 North Oak Street,AR,,Other,,Fordyce,Owned,Building,Central Office,36
FRCYIAXO,43.2657654699999,-93.63893779,WNS0504,145 West L Street,IA,,Other,,Forest City,Owned,Building,Central Office,15
GENVOHXA,41.80531692,-80.94567163,WNS2267,37 South Forest Street,OH,,Interesting,,Geneva,Owned,Building,Central Office,25
GRVIOHXA,40.06756012,-82.5189784699999,WNS2268,131 East Broadway,OH,,Interesting,,Granville,Owned,Building,Central Office,24
GNBRARXA,35.2326627699999,-92.38835084,WNS1370,9 South Broadview Street,AR,,Other,,Greenbrier,Owned,Building,Central Office,64
GNFDIAAJ,41.2948208099999,-94.46017161,WNS3295,South Townline Road,IA,,Other,,Greenfield,Owned,Building,Central Office,0
GNUPKYXA,38.5734244699999,-82.83962673,WNS1737,304 Laurel St.,KY,,Interesting,,Greenup,Owned,Building,Central Office,52
